id,name,lei_code,region
1,Apex Brokers Inc,5493001ABCDE12345001,NAMR
2,Vertex Securities LLC,5493001ABCDE12345002,NAMR
3,Helix Capital Markets,5493001ABCDE12345003,APAC
4,Aurora Markets SA,5493001ABCDE12345004,LATAM
5,Borealis Trading GmbH,5493001ABCDE12345005,EMEA
6,Cascadia Investments PLC,5493001ABCDE12345006,EMEA
7,Delphi Asset Management,5493001ABCDE12345007,EMEA
8,Equinox Securities Pty,5493001ABCDE12345008,APAC
9,Fjord Capital Partners,5493001ABCDE12345009,EMEA
10,Granite Hill Brokers,5493001ABCDE12345010,NAMR
